Код;Наименование;Подкатегория;;Подкатегория;Допродажа. Код;Допродажа. Наименование
ЦБ-00021054;36.6 АКТИВ КОМЛЕКС 36Г ТАБ. №60;Поливитамины;;Адаптогены настойки;ЦБ-00166349;Аскорбинка 900мг таб. шип. №17
ЦБ-00018820;36.6 ВИТ. Д/ ИНТЕЛЛЕКТА №20;Поливитамины;;Адаптогены настойки;ЦБ-00166471;Витамир цинк актив с вит. С №50
ЦБ-00018821;36.6 ВИТ. Д/СЕРДЦА №20;Витамины д/сердечно-сосудистой системы;;Адаптогены настойки;ЦБ-00166352;Витамин Д3 2000МЕ таб. шип. №20
ЦБ-00018822;36.6 ВИТ. Д/ФИТНЕСА С Л-КАРНИТИНОМ №20;Поливитамины;;Адаптогены настойки;РТ-00012537;Омега-3 35% Полиен капс. 1400мг №30
ЦБ-00018825;36.6 ВИТ.Д/ФИТН.С Л-КАРНИТ. 4Г №5 ТАБ;Поливитамины;;Очки готовые;ЦБ-00003103;Офтолик капли гл. 10мл
ЦБ-00018829;36.6 ВИТАМИН С 200 МГ №20 ТАБ. ШИП. УП;Витамин С;;Очки готовые;ЦБ-00107500;Оптинол Глубокое увлажнение капли гл. 10мл
ЦБ-00018830;36.6 ВИТАМИН С 900 МГ №20;Витамин С;;Очки готовые;ЦБ-00169324;Оптинол Тетризолин капли гл. 10мл
ЦБ-00018832;36.6 ВИТАМИН С+ЦИНК ДЛЯ ДЕТЕЙ 4Г №5 ТАБ;Витамин С;;Очки готовые;ЦБ-00027556;Лютеин комплекс таб. 570мг №30
ЦБ-00018838;36.6 ВИТАМИНЫ ДЛЯ ЗУБОВ № 17 УП;Поливитамины;;Очки готовые;ЦБ-00013583;Тауфон капли гл. 4% 10мл  (фл-кап)
ЦБ-00018839;36.6 ВИТАМИНЫ ДЛЯ ИНТЕЛЛЕКТА 4Г №5 ТАБ;Поливитамины;;Пероральные контрацептивы;ЦБ-00037072;Эсслиал Форте капс 300мг №30
ЦБ-00018840;36.6 ВИТАМИНЫ ДЛЯ СЕРДЦА 4Г №5 ТАБ;Витамины д/сердечно-сосудистой системы;;Пероральные контрацептивы;ЦБ-00008160;Кардиомагнил таб. п/п/о 75мг+15.2мг №100
ЦБ-00018841;36.6 ВОДА АРОМАТ АПЕЛЬСИНА БЕЗ ГАЗА 0.5Л;Минеральная вода;;Пероральные контрацептивы;ЦБ-00122525;Витаминный комплекс А-Zn д/женщин таб.№30
ЦБ-00018842;36.6 ВОДА АРОМАТ АПЕЛЬСИНА С ГАЗОМ 0.5Л;Минеральная вода;;Пероральные контрацептивы;ЦБ-00175417;Витаспектрум Мультивитаминный комплекс д/женщин таб. №30
ЦБ-00018843;36.6 ВОДА АРОМАТ ЛИМОНА БЕЗ ГАЗА 0.5Л;Минеральная вода;;Пероральные контрацептивы;ЦБ-00009147;Лактацид средство д/интимной гигиены 200мл
ЦБ-00018844;36.6 ВОДА АРОМАТ ЛИМОНА С ГАЗОМ 0.5Л;Минеральная вода;;Пероральные контрацептивы;ЦБ-00003069;Почечный чай (ортосифон) ф/п 1.5г №20
ЦБ-00018845;36.6 ВОДА ПИТЬЕВАЯ СПОРТ НЕГАЗ 0.5Л;Минеральная вода;;Пероральные контрацептивы;РТ-00002042;Витамир Магний + В6 форте таб. №30
ЦБ-00023713;36.6 ВОДА ПИТЬЕВАЯ ТАЛАЯ 0.25Л;Минеральная вода;;Пероральные контрацептивы;ЦБ-00153234;Вагилак Проледи капс. №15
ЦБ-00023877;36.6 ВОДА ПИТЬЕВАЯ ТАЛАЯ 0.5Л;Минеральная вода;;Пероральные контрацептивы;РТ-00007187;Витамир Альфа-липоевая кислота Форте 100мг таб. №30
ЦБ-00018846;36.6 ВОДА ПРИР МИНЕР/ЛЕЧ СТОЛ 0.5Л 78332;Минеральная вода;;Витамин С;ЦБ-00032984;Оксолиновая мазь 0.25% 10г
ЦБ-00018847;36.6 ВОДА ПРИРОДНАЯ ПИТЬЕВАЯ 0.5Л;Минеральная вода;;Витамин С;ЦБ-00001266;Гриппферон капли наз. 10000 МЕ/мл 10мл
ЦБ-00018848;36.6 ВОДА ПРИРОДНАЯ ПИТЬЕВАЯ 1Л;Минеральная вода;;Витамин С;ЦБ-00166471;Витамир цинк актив с вит. С №50
ЦБ-00018882;36.6 ЖЕЛЕЗО № 30 ТАБ;Препараты железа;;Витамин С;ЦБ-00122565;Инозин Пранобекс таб. 500мг №30
ЦБ-00019459;36.6 МАГНИЙ В6 № 30 ТАБ;Препараты группы В, нейропротекторы;;Витамин С;ЦБ-00000763;Бронхо-мунал капс. 7мг №10
ЦБ-00018986;36.6 НОСОЧКИ КОСМЕТИЧЕСКИЕ УП.;Очки готовые;;Витамин С;ЦБ-00166352;Витамин Д3 2000МЕ таб. шип. №20
ЦБ-00023615;36.6 ОЧКИ КОРИГИР. +2.5 ЗОЛ. № 1;Очки готовые;;Витамин С;ЦБ-00177489;Тетралаб Витамин Д3 2000 диспергируемый таб. №120 
ЦБ-00019408;36.6 ОЧКИ КОРРИГИР. +1 ЗОЛ. № 1;Очки готовые;;Витамин С;ЦБ-00166348;Мультивитамины таб. шип. №17
ЦБ-00021110;36.6 ОЧКИ КОРРИГИР. +1.5 ЗОЛ. № 1;Очки готовые;;Витамин С;ЦБ-00026310;Эхинацея П таб. п/о №100
ЦБ-00023616;36.6 ОЧКИ КОРРИГИР. +2 ЗОЛ. № 1;Очки готовые;;Витамин С;ЦБ-00161917;Ливс Имунн комплекс бузина/прополис/эхинацея паст. мармелад. со вкусом фруктов и ягод №90
ЦБ-00018990;36.6 ОЧКИ КОРРИГИР. +3 ЗОЛ. № 1;Очки готовые;;Ср-ва при эректильной дисфункции, влияющие на либидо;ЦБ-00187947;Сенс оф Лайф Омега 3 кардио актив софтгель-капс. №30
ЦБ-00018991;36.6 ОЧКИ КОРРИГИР. +4 ЗОЛ. № 1;Очки готовые;;Ср-ва при эректильной дисфункции, влияющие на либидо;РТ-00012537;Омега-3 35% Полиен капс. 1400мг №30
ЦБ-00018992;36.6 ОЧКИ КОРРИГИРУЮЩИЕ +1 БОРДОВЫЙ;Очки готовые;;Ср-ва при эректильной дисфункции, влияющие на либидо;ЦБ-00006897;Контекс Вейв гель-смазка увлажн. 30мл
ЦБ-00018993;36.6 ОЧКИ КОРРИГИРУЮЩИЕ +1 ЧЕРНЫЙ;Очки готовые;;Ср-ва при эректильной дисфункции, влияющие на либидо;ЦБ-00006915;Контекс Вейв гель-смазка увлажн. 100мл
ЦБ-00023741;36.6 ОЧКИ КОРРИГИРУЮЩИЕ +1.5 БОРДОВЫЙ;Очки готовые;;Ср-ва при эректильной дисфункции, влияющие на либидо;ЦБ-00011987;Контекс Классик презервативы №3
ЦБ-00023685;36.6 ОЧКИ КОРРИГИРУЮЩИЕ +1.5 ЧЕРНЫЙ;Очки готовые;;Ср-ва при эректильной дисфункции, влияющие на либидо;ЦБ-00011986;Контекс Классик презервативы №12
ЦБ-00023617;36.6 ОЧКИ КОРРИГИРУЮЩИЕ +2 БОРДОВЫЙ;Очки готовые;;Ср-ва при эректильной дисфункции, влияющие на либидо;ЦБ-00121986;Витаминный комплекс А-Zn д/мужчин таб.№30
ЦБ-00023618;36.6 ОЧКИ КОРРИГИРУЮЩИЕ +2 ЧЕРНЫЙ;Очки готовые;;Ср-ва при эректильной дисфункции, влияющие на либидо;ЦБ-00175415;Витаспектрум Мультивитаминный комплекс д/мужчин таб. №30
ЦБ-00019409;36.6 ОЧКИ КОРРИГИРУЮЩИЕ +2.5 БОРДОВЫЙ;Очки готовые;;Шприцы;ЦБ-00017485;Асептика Салфетка спиртовая д/инъекций 60х100мм №10
ЦБ-00018994;36.6 ОЧКИ КОРРИГИРУЮЩИЕ +2.5 ЧЕРНЫЙ;Очки готовые;;Шприцы;ЦБ-00018385;Асептика Салфетка спиртовая д/инъекций 60х100мм №20
ЦБ-00019410;36.6 ОЧКИ КОРРИГИРУЮЩИЕ +3 БОРДОВЫЙ;Очки готовые;;Шприцы;РТ-00005599;Троксерутин гель 2% 40г
ЦБ-00019411;36.6 ОЧКИ КОРРИГИРУЮЩИЕ +3 ЧЕРНЫЙ;Очки готовые;;Презервативы;ЦБ-00006897;Контекс Вейв гель-смазка увлажн. 30мл
ЦБ-00018995;36.6 ОЧКИ КОРРИГИРУЮЩИЕ +4 БОРДОВЫЙ;Очки готовые;;Презервативы;ЦБ-00006915;Контекс Вейв гель-смазка увлажн. 100мл
ЦБ-00018996;36.6 ОЧКИ КОРРИГИРУЮЩИЕ +4 ЧЕРНЫЙ;Очки готовые;;Презервативы;00-00018814;Дива салфетки влажные д/интимной гигиены с экстрактом ромашки №20
ЦБ-00026405;36.6 ОЧКИ КОРРИГИРУЮЩИЕ 3.0 БОРД.;Очки готовые;;Презервативы;ЦБ-00031274;Эво Мыло жидкое д/интим гигиены Чувств.кожа с ромашкой 200мл
ЦБ-00019506;36.6 ПРЕЗЕРВАТИВ УЗИ №1;Презервативы;;Презервативы;ЦБ-00009147;Лактацид средство д/интимной гигиены 200мл
ЦБ-00019620;36.6 ПРЕЗЕРВАТИВЫ XL №12;Презервативы;;Препараты магния;РТ-00010941;Антистресс Стандарт здоровья таб. п/о №20
ЦБ-00019414;36.6 ПРЕЗЕРВАТИВЫ XL №3;Презервативы;;Препараты магния;ЦБ-00000805;Валериана Форте таб. п.о 40мг №50
ЦБ-00023723;36.6 ПРЕЗЕРВАТИВЫ АРОМАТ №12;Презервативы;;Препараты магния;ЦБ-00008727;Корвалол 25мл
ЦБ-00019507;36.6 ПРЕЗЕРВАТИВЫ АРОМАТИЗИРОВ.№3 НОВ.УП;Презервативы;;Препараты магния;РТ-00003948;Витамир Мульти В-комплекс табл. №30
ЦБ-00019508;36.6 ПРЕЗЕРВАТИВЫ КЛАССИЧЕСКИЕ №12;Презервативы;;Препараты магния;РТ-00008134;Мильгамма композитум таб. №30
ЦБ-00019022;36.6 ПРЕЗЕРВАТИВЫ КЛАССИЧЕСКИЕ №3 НОВ.УП;Презервативы;;Препараты магния;ЦБ-00177058;Глицин форте таб. 300мг №60
ЦБ-00019415;36.6 ПРЕЗЕРВАТИВЫ РЕБРИСТЫЕ N12;Презервативы;;Препараты магния;ЦБ-00169409;Глицин Форте Эвалар таб. №60+20
ЦБ-00019461;36.6 ПРЕЗЕРВАТИВЫ РЕБРИСТЫЕ №3;Презервативы;;Препараты магния;ЦБ-00157742;Глицин + Мелатонин табл. подъязычные 100мг + 3мг №20
ЦБ-00019023;36.6 ПРЕЗЕРВАТИВЫ СВЕРХТОНКИЕ №12;Презервативы;;Препараты магния;ЦБ-00141181;Мелатонин таб. п/п/о 3мг №30
ЦБ-00019024;36.6 ПРЕЗЕРВАТИВЫ СВЕРХТОНКИЕ №3 НОВ.УП;Презервативы;;Бактерицидный;ЦБ-00100223;Хлоргексидина биглюконат 0,05% 100мл
ЦБ-00019416;36.6 ПРЕЗЕРВАТИВЫ ТОЧЕЧНЫЕ №3;Презервативы;;Бактерицидный;РТ-00005598;Декспантенол мазь 5% 30г
ЦБ-00019065;36.6 САЛФЕТКИ МАРЛ. СТЕР.10Х10 СМ №5;Салфетки стерильные;;Бактерицидный;РТ-00004288;Левомикон мазь 40г
ЦБ-00012641;36.6 Салфетки марлевые стер Медикомп 7.5х7.5  25штх2;Салфетки стерильные;;Бактерицидный;ЦБ-00161690;Бацидерм пор. д/наруж. прим. 250 МЕ/г+5000 МЕ/г 10г
ЦБ-00030841;36.6 Салфетки марлевые стер. 45 х 29см №1;Салфетки стерильные;;Бактерицидный;ЦБ-00169182;Салфетки влажные антибактериальные №20
ЦБ-00000002;5-НОК таб. п/о 50мг №50;Уроантисептики;;Повязка раневая;РТ-00004288;Левомикон мазь 40г
ЦБ-00147890;ABC хэлси фуд Аскорбинка апельсин таб. №10;Витамин С;;Повязка раневая;ЦБ-00161690;Бацидерм пор. д/наруж. прим. 250 МЕ/г+5000 МЕ/г 10г
ЦБ-00151802;ABC хэлси фуд Аскорбинка вишня таб. №10;Витамин С;;Повязка раневая;РТ-00005598;Декспантенол мазь 5% 30г
ЦБ-00151800;ABC хэлси фуд Аскорбинка клубника таб. №10;Витамин С;;Повязка раневая;ЦБ-00005734;Бепантен мазь 5% 100г
ЦБ-00179601;ABC хэлси фуд аскорбинка с глюкозой/сахаром малина таб. №10;Витамин С;;Повязка раневая;ЦБ-00010042;Мирамистин р-р д/местн. прим. (с распыл.) 0,01% 150мл
ЦБ-00172656;ABC Хэлси фуд Аскорбинка форте с глюкозой б/ароматизатора таб. №70;Витамин С;;Повязка раневая;ЦБ-00100223;Хлоргексидина биглюконат 0,05% 100мл
ЦБ-00170032;ABC Хэлси фуд Аскорбинка форте с глюкозой клубника таб. №70;Витамин С;;Гинекологические п/воспалительные ср-ва наружные;ЦБ-00153234;Вагилак Проледи капс. №15
ЦБ-00179995;ABC хэлси фуд Вит. С+Цинк фрукты/ягоды марм. паст. №60;Поливитамины;;Гинекологические п/воспалительные ср-ва наружные;ЦБ-00002265;Лактонорм супп. ваг. 100млн КОЕ №14
ЦБ-00184621;ABC хэлси фуд Витамин С с глюкозой б/аромат. таб. жев. №14;Витамин С;;Гинекологические п/воспалительные ср-ва наружные;ЦБ-00031274;Эво Мыло жидкое д/интим гигиены Чувств.кожа с ромашкой 200мл
ЦБ-00193446;ABC хэлси фуд компл. иммун. бузина/прополис/эхинацей фрукты/ягоды жев. паст. №60;Поливитамины;;Гинекологические п/воспалительные ср-ва наружные;ЦБ-00009147;Лактацид средство д/интимной гигиены 200мл
ЦБ-00182056;ABC хэлси фуд компл. мультивит. д/жен. фрукты/ягоды паст. жев. №50;Поливитамины;;Гинекологические п/воспалительные ср-ва наружные;ЦБ-00145078;Эстрогиал гель интимн. 40мл
ЦБ-00177457;ABC хэлси фуд леденцовая карамель б/сахара с цинком и вит.С со вкус. эвкалипта/мяты 60г;Драже, леденцы;;Гинекологические п/воспалительные ср-ва наружные;ЦБ-00005664;Белла Панти прокладки ежедн. софт №20
ЦБ-00157135;ABC хэлси фуд леденцовая карамель с цинком и вит.С со вкус. ежевики и малины 3+ 17г;Драже, леденцы;;Поливитамины;ЦБ-00187947;Сенс оф Лайф Омега 3 кардио актив софтгель-капс. №30
ЦБ-00157136;ABC хэлси фуд леденцовая карамель с цинком и вит.С со вкус. клубники 3+ 17г;Драже, леденцы;;Поливитамины;РТ-00012537;Омега-3 35% Полиен капс. 1400мг №30
ЦБ-00154484;ABC хэлси фуд леденцовая карамель с цинком и вит.С со вкус. лимона и мяты 3+ 17г;Драже, леденцы;;Поливитамины;ЦБ-00184903;Витамир Коллаген морск. легкодост. с гиалурон. кисл. стик-пакет №15
ЦБ-00178603;ABC хэлси фуд леденцовая карамель с цинком и вит.С со вкусом апельсина 60г;Драже, леденцы;;Поливитамины;ЦБ-00014160;Феррогематоген пастилки 50г
ЦБ-00178604;ABC хэлси фуд леденцовая карамель с цинком и вит.С со вкусом шалфея/мяты 60г;Драже, леденцы;;Препараты железа;ЦБ-00166349;Аскорбинка 900мг таб. шип. №17
ЦБ-00185345;ABC хэлси фуд леденцы на основе трав с вит. С Альпийский мед 60г;Драже, леденцы;;Препараты железа;ЦБ-00177059;Янтарная кислота форте таб. 400мг №30
ЦБ-00182814;ABC хэлси фуд леденцы на основе трав с вит. С шалфей/мед 60г;Драже, леденцы;;Препараты железа;ЦБ-00089123;Бифицин капс. 5млрд. бактерий №10
ЦБ-00186859;ABC хэлси фуд леденцы на основе трав с вит. С эвкалипт/ментол 60г;Драже, леденцы;;Препараты железа;ЦБ-00166352;Витамин Д3 2000МЕ таб. шип. №20
ЦБ-00178825;ABC хэлси фуд мед твердый апельсин/облепиха 30г;Драже, леденцы;;Препараты железа;ЦБ-00117192;ДэТриФерол капли д/приема внутрь 15000 МЕ/мл 15мл банан
ЦБ-00179683;ABC хэлси фуд мед твердый имбирь/лимон 30г;Драже, леденцы;;Препараты железа;ЦБ-00176822;Фолиевая кислота таб. №100
ЦБ-00181686;ABC хэлси фуд мед твердый ментол/эвкалипт №10;Драже, леденцы;;Препараты железа;ЦБ-00018508;Благомин витамин В12 (цианокобаламин 9мкг) капс.200мг №90
ЦБ-00178795;ABC Хэлси фуд сироп облепихи с вит. С 250мл;Витамин С;;Препараты железа;ЦБ-00003545;Ретинола пальмитат (вит А) 100 тыс.МЕ р-р масляный 10мл
ЦБ-00178642;ABC Хэлси фуд сироп шиповника с вит. С 250мл;Витамин С;;Инфекции мочевого пузыря и почек;ЦБ-00040501;Доверин таб. 40мг №24
ЦБ-00161828;Angel салфетки мед. стер. 8 слож. 10*10;Салфетки стерильные;;Инфекции мочевого пузыря и почек;РТ-00013075;Нефростен таб. п/о №60
ЦБ-00172810;EAE 159 очки готовые (+0,75);Очки готовые;;Инфекции мочевого пузыря и почек;ЦБ-00089123;Бифицин капс. 5млрд. бактерий №10
ЦБ-00172811;EAE 159 очки готовые (+1,25);Очки готовые;;Инфекции мочевого пузыря и почек;ЦБ-00000771;Сбор Бруснивер ф/п 2г №20
ЦБ-00172812;EAE 159 очки готовые (+1,75);Очки готовые;;Инфекции мочевого пузыря и почек;ЦБ-00031274;Эво Мыло жидкое д/интим гигиены Чувств.кожа с ромашкой 200мл
ЦБ-00172813;EAE 159 очки готовые (+2,25);Очки готовые;;Инфекции мочевого пузыря и почек;ЦБ-00009147;Лактацид средство д/интимной гигиены 200мл
ЦБ-00172814;EAE 159 очки готовые (+2,75);Очки готовые;;Уроантисептики;ЦБ-00000771;Сбор Бруснивер ф/п 2г №20
ЦБ-00172816;EAE 159 очки готовые (+3,25);Очки готовые;;Уроантисептики;ЦБ-00040501;Доверин таб. 40мг №24
ЦБ-00172817;EAE 159 очки готовые (+3,50);Очки готовые;;Уроантисептики;ЦБ-00089123;Бифицин капс. 5млрд. бактерий №10
ЦБ-00172818;EAE 159 очки готовые (+3,75);Очки готовые;;Уроантисептики;ЦБ-00031274;Эво Мыло жидкое д/интим гигиены Чувств.кожа с ромашкой 200мл
ЦБ-00174956;GA 0180 очки готовые (+2,50);Очки готовые;;Уроантисептики;ЦБ-00009147;Лактацид средство д/интимной гигиены 200мл
ЦБ-00174949;GA 0184 очки готовые (+2,00);Очки готовые;;Гематоген;ЦБ-00167405;Черноголовская вода питьевая дет. н/газ 0,5л
ЦБ-00174952;GA 0184 очки готовые (+2,50);Очки готовые;;Гематоген;РТ-00009859;Аскорбинка таб. крутка с вит.С 25мг №10
ЦБ-00174947;GA 0451 очки готовые (+2,00);Очки готовые;;Гематоген;ЦБ-00045532;Батончик мюсли Клубника в йогурте 30г
ЦБ-00174953;GA 0451 очки готовые (+2,50);Очки готовые;;Минеральная вода;ЦБ-00169182;Салфетки влажные антибактериальные №20
ЦБ-00174948;GA 0483 очки готовые (+2,00);Очки готовые;;Минеральная вода;ЦБ-00014160;Феррогематоген пастилки 50г
ЦБ-00174954;GA 0483 очки готовые (+2,50);Очки готовые;;Минеральная вода;РТ-00009859;Аскорбинка таб. крутка с вит.С 25мг №10
ЦБ-00159808;GOLDICA Zn жидкий концентрат (Цинка пиколинат) фл. 50мл;Препараты группы В, нейропротекторы;;Минеральная вода;ЦБ-00045532;Батончик мюсли Клубника в йогурте 30г
ЦБ-00159809;GOLDICA Витамин D3+K2 фл. 20мл;Препараты группы В, нейропротекторы;;Инъекционные и инфузионные р-ры;ЦБ-00017330;Система инфузионная пластиковый шип (21G 0,8х40мм) д/пластиковых пакетов №1 зеленая (534001)
ЦБ-00159804;GOLDICA витаминный комплекс с L-таурином капс. №100;Препараты группы В, нейропротекторы;;Инъекционные и инфузионные р-ры;ЦБ-00017485;Асептика Салфетка спиртовая д/инъекций 60х100мм №10
ЦБ-00159805;GOLDICA Глюкозамин-Хондроитиновый комплекс с МСМ фл. 250мл;Препараты группы В, нейропротекторы;;Инъекционные и инфузионные р-ры;ЦБ-00018385;Асептика Салфетка спиртовая д/инъекций 60х100мм №20
ЦБ-00159806;GOLDICA Глюкозамин-Хондроитиновый комплекс таб. №100;Препараты группы В, нейропротекторы;;Инъекционные и инфузионные р-ры;ЦБ-00037299;Мастер Юни л/пласт 3х500см ткан
ЦБ-00159807;GOLDICA Глюкозамин-Хондроитиновый комплекс таб. №200;Препараты группы В, нейропротекторы;;Инъекционные и инфузионные р-ры;ЦБ-00008194;Катетер в/в 23G игла-бабочка  (d=0.6мм)
ЦБ-00159802;GOLDICA энергетический комплекс: витамины группы В+минералы таб.шип. №20;Препараты группы В, нейропротекторы;;Драже, леденцы;ЦБ-00167405;Черноголовская вода питьевая дет. н/газ 0,5л
ЦБ-00159803;GOLDICA энергетический комплекс: витамины группы В+минералы таб.шип. №40;Препараты группы В, нейропротекторы;;Драже, леденцы;РТ-00009859;Аскорбинка таб. крутка с вит.С 25мг №10
ЦБ-00183010;L-Аргинин капс. №120;Витамины д/сердечно-сосудистой системы;;Драже, леденцы;ЦБ-00045532;Батончик мюсли Клубника в йогурте 30г
ЦБ-00157952;L-Аргинин капс. №30;Витамины д/сердечно-сосудистой системы;;Драже, леденцы;ЦБ-00169182;Салфетки влажные антибактериальные №20
ЦБ-00182203;L-Аргинин капс. №90;Витамины д/сердечно-сосудистой системы;;Драже, леденцы;ЦБ-00014160;Феррогематоген пастилки 50г
ЦБ-00160521;L-Лизин таб. №30;Витамины д/сердечно-сосудистой системы;;Драже, леденцы;ЦБ-00166348;Мультивитамины таб. шип. №17
ЦБ-00156226;L-Метилфолат табл. №90;Витамины д/сердечно-сосудистой системы;;Драже, леденцы;ЦБ-00166349;Аскорбинка 900мг таб. шип. №17
ЦБ-00159810;OVIE Омега-3 35% с витамином Е капс. №80;Препараты группы В, нейропротекторы;;Антибактериальные средства инъекционные р-ры;ЦБ-00089123;Бифицин капс. 5млрд. бактерий №10
РТ-00005811;PL АЕ витамин с природными витаминами капс. №20;Поливитамины;;Антибактериальные средства инъекционные р-ры;ЦБ-00029497;Вода д/ин амп 5мл №10
ЦБ-00143590;SMART-VMN 2020 комплексный набор капс. №90 3 банки+бумаж. пакет;Поливитамины;;Антибактериальные средства инъекционные р-ры;ЦБ-00068043;Шприц 10мл 3-х комп. Паскаль с иглой 21G (0,8x40мм) №1
РТ-00011555;А+Е вит капс. №20 Реневал;Поливитамины;;Антибактериальные средства инъекционные р-ры;ЦБ-00018385;Асептика Салфетка спиртовая д/инъекций 60х100мм №20
ЦБ-00120818;А+Е вит капс. №30;Поливитамины;;Антибактериальные средства инъекционные р-ры;ЦБ-00017485;Асептика Салфетка спиртовая д/инъекций 60х100мм №10
ЦБ-00140812;А+Е вит капс. №30;Поливитамины;;Фиксирующие катушки;ЦБ-00012630;Салфетки марлевые стер. 2х слойн. (16х14см) №10
ЦБ-00186416;Аальфа-липоевоевая кислота капс. №30;Витамины д/сердечно-сосудистой системы;;Фиксирующие катушки;ЦБ-00012540;Салфетки Стерилюкс ЕС марлевые стерил. (7,5х7,5см) №10
ЦБ-00000016;Абактал конц. в/в 80мг/мл 5мл №10;Антибактериальные средства инъекционные р-ры;;Фиксирующие катушки;ЦБ-00029258;Бинт марлевый стер. 7мх14см
ЦБ-00090591;Авелокс р-р д/инф. 1,6мг/мл фл. 250мл №4;Антибактериальные средства инъекционные р-ры;;Фиксирующие катушки;ЦБ-00010042;Мирамистин р-р д/местн. прим. (с распыл.) 0,01% 150мл
ЦБ-00000020;Авелокс р-р д/инф. 1.6 мг/мл 250мл;Антибактериальные средства инъекционные р-ры;;Фиксирующие катушки;ЦБ-00100223;Хлоргексидина биглюконат 0,05% 100мл
ЦБ-00193800;Авиценна Железа Хелат таб. №90;Препараты железа;;Фиксирующие катушки;РТ-00005598;Декспантенол мазь 5% 30г
ЦБ-00192167;Авиценна Магнемакс с вит. В6/Д3 капс. №60;Препараты магния;;Фиксирующие катушки;ЦБ-00005734;Бепантен мазь 5% 100г
ЦБ-00182368;Авочактив L-лизин капс. №60;Витамины д/сердечно-сосудистой системы;;Фиксирующие катушки;РТ-00004288;Левомикон мазь 40г
ЦБ-00175503;Авочактив Аргинин альфа-кетоглутарат капс. №120;Витамины д/сердечно-сосудистой системы;;Фиксирующие катушки;ЦБ-00161690;Бацидерм пор. д/наруж. прим. 250 МЕ/г+5000 МЕ/г 10г
